Неделя;Температура ср;Влажность ср;Скорость ветра ср;Осадки сум;D Темп за 3 нед;D Темп за 2 нед;D Темп за 1 нед;D Влажн за 3 нед;D Влажн за 2 нед;D Влажн за 1 нед;Fires;
24.03.2008 - 30.03.2008;-1,50;70,00;0,74;1,00;6,33;6,34;6,22;0,36;4,77;8,35;13;
31.03.2008 - 06.04.2008;0,98;62,43;1,64;0,00;8,82;8,69;2,47;-2,81;0,77;-7,57;50;
07.04.2008 - 13.04.2008;-1,08;55,78;2,74;0,00;6,64;0,42;-2,05;-5,88;-14,22;-6,65;20;
14.04.2008 - 20.04.2008;1,80;49,52;2,02;0,00;3,30;0,83;2,88;-20,48;-12,91;-6,26;20;
21.04.2008 - 27.04.2008;0,26;54,90;1,74;0,00;-0,72;1,33;-1,55;-7,52;-0,87;5,39;19;
28.04.2008 - 04.05.2008;5,75;59,52;2,87;11,00;6,82;3,95;5,49;3,74;10,00;4,62;10;
05.05.2008 - 11.05.2008;6,80;62,21;1,51;9,00;4,99;6,54;1,05;12,70;7,31;2,70;5;
12.05.2008 - 18.05.2008;11,21;58,19;1,76;2,80;10,95;5,46;4,41;3,28;-1,33;-4,03;24;
19.05.2008 - 25.05.2008;11,25;64,32;1,54;1,30;5,50;4,46;0,04;4,80;2,11;6,13;5;
26.05.2008 - 01.06.2008;11,17;77,22;1,44;13,50;4,38;-0,03;-0,08;15,01;19,04;12,90;0;
02.06.2008 - 08.06.2008;15,73;72,39;0,87;6,00;4,52;4,48;4,56;14,20;8,07;-4,84;0;
09.06.2008 - 15.06.2008;18,80;65,50;0,96;0,00;7,54;7,62;3,06;1,18;-11,72;-6,89;0;
16.06.2008 - 22.06.2008;20,01;77,56;0,96;10,00;8,83;4,28;1,21;0,34;5,17;12,06;2;
23.06.2008 - 29.06.2008;21,23;70,22;1,28;0,40;5,50;2,44;1,23;-2,17;4,72;-7,34;24;
30.06.2008 - 06.07.2008;20,50;72,82;1,52;5,00;1,71;0,49;-0,73;7,32;-4,74;2,60;13;
07.07.2008 - 13.07.2008;19,06;74,62;1,76;11,70;-0,95;-2,17;-1,44;-2,94;4,40;1,80;1;
14.07.2008 - 20.07.2008;20,58;72,02;1,25;2,00;-0,66;0,08;1,52;1,80;-0,80;-2,60;2;
21.07.2008 - 27.07.2008;22,63;66,45;1,29;0,00;2,13;3,57;2,05;-6,38;-8,17;-5,57;5;
28.07.2008 - 03.08.2008;18,88;64,77;1,73;0,30;-0,18;-1,70;-3,75;-9,85;-7,25;-1,67;2;
02.03.2009 - 08.03.2009;-18,47;74,32;0,89;1,20;6,92;10,30;6,33;-3,16;3,16;2,68;0;
09.03.2009 - 15.03.2009;-16,10;73,09;0,94;2,60;12,68;8,71;2,37;1,93;1,45;-1,23;0;
16.03.2009 - 22.03.2009;-19,19;67,66;1,04;0,00;5,62;-0,71;-3,09;-3,98;-6,66;-5,43;0;
23.03.2009 - 29.03.2009;-9,86;69,48;1,98;0,20;8,62;6,24;9,33;-4,84;-3,61;1,82;0;
30.03.2009 - 05.04.2009;-0,64;71,95;1,04;6,00;15,46;18,54;9,22;-1,15;4,29;2,46;0;
06.04.2009 - 12.04.2009;1,70;68,78;1,52;4,70;20,89;11,56;2,34;1,12;-0,70;-3,16;3;
13.04.2009 - 19.04.2009;-1,58;59,02;2,25;0,00;8,28;-0,94;-3,28;-10,46;-12,93;-9,76;14;
20.04.2009 - 26.04.2009;3,50;62,76;1,20;0,00;4,14;1,79;5,08;-9,18;-6,02;3,75;28;
27.04.2009 - 03.05.2009;7,78;65,61;2,39;32,00;6,08;9,36;4,28;-3,17;6,59;2,84;3;
04.05.2009 - 10.05.2009;7,46;52,45;3,00;0,00;9,03;3,96;-0,32;-6,56;-10,31;-13,15;5;
11.05.2009 - 17.05.2009;10,29;53,25;3,22;12,30;6,80;2,51;2,84;-9,52;-12,36;0,79;3;
18.05.2009 - 24.05.2009;12,48;50,60;2,54;0,00;4,70;5,02;2,18;-15,01;-1,86;-2,65;5;
25.05.2009 - 31.05.2009;11,96;56,17;2,31;1,00;4,50;1,66;-0,52;3,72;2,93;5,58;0;
01.06.2009 - 07.06.2009;12,80;80,87;0,93;8,70;2,50;0,32;0,84;27,62;30,27;24,69;0;
08.06.2009 - 14.06.2009;13,31;79,02;1,45;15,00;0,83;1,35;0,51;28,43;22,85;-1,84;0;
15.06.2009 - 21.06.2009;15,19;77,49;1,39;37,20;3,23;2,39;1,88;21,32;-3,38;-1,53;0;
22.06.2009 - 28.06.2009;15,76;82,10;1,06;7,20;2,96;2,45;0,57;1,23;3,08;4,61;0;
29.06.2009 - 05.07.2009;17,22;79,33;1,02;22,90;3,91;2,02;1,46;0,30;1,84;-2,77;0;
06.07.2009 - 12.07.2009;16,39;88,27;0,73;45,30;1,20;0,63;-0,83;10,78;6,17;8,94;0;
13.07.2009 - 19.07.2009;15,21;91,68;0,60;69,70;-0,55;-2,01;-1,18;9,58;12,35;3,41;0;
20.07.2009 - 26.07.2009;17,18;87,12;0,63;15,30;-0,03;0,79;1,97;7,79;-1,15;-4,56;0;
27.07.2009 - 02.08.2009;20,47;81,84;1,23;19,20;4,08;5,26;3,29;-6,43;-9,84;-5,28;0;
01.03.2010 - 07.03.2010;-25,41;69,24;0,85;0,00;1,76;0,75;-3,13;-1,76;-5,76;-3,37;0;
08.03.2010 - 14.03.2010;-19,58;67,89;1,25;0,00;6,58;2,71;5,83;-7,11;-4,72;-1,35;0;
15.03.2010 - 21.03.2010;-16,45;69,87;1,19;0,00;5,84;8,97;3,13;-2,74;0,63;1,98;0;
22.03.2010 - 28.03.2010;-14,99;72,06;1,12;2,00;10,42;4,59;1,46;2,82;4,17;2,19;0;
29.03.2010 - 04.04.2010;-5,29;66,87;1,57;3,30;14,30;11,16;9,71;-1,02;-3,00;-5,19;0;
05.04.2010 - 11.04.2010;-4,28;64,29;1,90;2,50;12,17;10,72;1,01;-5,58;-7,77;-2,58;0;
12.04.2010 - 18.04.2010;-5,39;63,00;1,24;0,00;9,60;-0,10;-1,11;-9,06;-3,87;-1,29;2;
19.04.2010 - 25.04.2010;3,35;63,69;1,52;0,00;8,63;7,62;8,74;-3,19;-0,60;0,69;27;
26.04.2010 - 02.05.2010;6,47;64,18;2,09;3,80;10,75;11,86;3,12;-0,10;1,18;0,50;2;
03.05.2010 - 09.05.2010;7,59;53,91;2,35;0,00;12,98;4,25;1,12;-9,09;-9,78;-10,27;7;
10.05.2010 - 16.05.2010;10,99;48,94;2,17;0,00;7,64;4,52;3,39;-14,74;-15,24;-4,96;4;
17.05.2010 - 23.05.2010;12,53;67,16;1,46;26,40;6,06;4,93;1,54;2,98;13,25;18,22;2;
24.05.2010 - 30.05.2010;13,45;69,53;0,90;1,80;5,86;2,47;0,93;15,62;20,58;2,37;1;
31.05.2010 - 06.06.2010;16,91;66,63;1,73;3,60;5,92;4,38;3,46;17,68;-0,54;-2,90;0;
07.06.2010 - 13.06.2010;17,06;71,59;1,04;3,00;4,53;3,60;0,15;4,43;2,06;4,96;1;
14.06.2010 - 20.06.2010;16,24;74,10;1,00;2,70;2,79;-0,67;-0,82;4,57;7,48;2,51;0;
21.06.2010 - 27.06.2010;22,25;67,29;0,86;0,00;5,34;5,19;6,01;0,66;-4,30;-6,82;0;
28.06.2010 - 04.07.2010;21,87;75,39;1,09;27,70;4,81;5,63;-0,39;3,80;1,29;8,11;0;
05.07.2010 - 11.07.2010;16,82;81,92;0,82;8,30;0,58;-5,43;-5,04;7,82;14,63;6,53;0;
12.07.2010 - 18.07.2010;18,27;79,82;0,71;6,70;-3,99;-3,60;1,44;12,53;4,43;-2,10;0;
19.07.2010 - 25.07.2010;20,70;86,27;0,77;17,30;-1,17;3,88;2,43;10,88;4,35;6,46;0;
26.07.2010 - 01.08.2010;17,21;80,82;1,89;55,30;0,39;-1,06;-3,49;-1,10;1,00;-5,45;0;
07.03.2011 - 13.03.2011;-14,69;71,84;0,98;0,00;8,86;3,57;4,40;-3,32;0,43;2,43;0;
14.03.2011 - 20.03.2011;-12,32;70,63;2,18;2,00;5,93;6,76;2,36;-0,78;1,22;-1,21;0;
21.03.2011 - 27.03.2011;-8,64;70,22;1,24;0,00;10,45;6,05;3,68;0,81;-1,62;-0,41;0;
28.03.2011 - 03.04.2011;-1,75;59,53;1,91;6,20;12,94;10,57;6,89;-12,32;-11,11;-10,70;5;
04.04.2011 - 10.04.2011;-0,70;61,29;2,44;3,00;11,62;7,94;1,05;-9,34;-8,93;1,76;5;
11.04.2011 - 17.04.2011;-1,39;67,11;1,26;0,00;7,25;0,36;-0,70;-3,12;7,58;5,82;21;
18.04.2011 - 24.04.2011;2,81;70,15;1,06;0,00;4,56;3,51;4,21;10,62;8,86;3,04;14;
25.04.2011 - 01.05.2011;5,07;60,91;0,91;0,00;5,77;6,47;2,26;-0,38;-6,19;-9,23;23;
02.05.2011 - 08.05.2011;7,37;55,53;1,32;0,00;8,76;4,55;2,29;-11,57;-14,62;-5,38;7;
09.05.2011 - 15.05.2011;7,86;59,62;1,79;9,00;5,05;2,79;0,50;-10,53;-1,30;4,09;3;
16.05.2011 - 22.05.2011;8,58;58,55;2,42;4,00;3,51;1,21;0,71;-2,37;3,02;-1,07;4;
23.05.2011 - 29.05.2011;11,27;73,17;0,94;32,80;3,90;3,40;2,69;17,64;13,55;14,63;1;
30.05.2011 - 05.06.2011;11,92;84,55;1,11;8,00;4,06;3,34;0,66;24,93;26,01;11,38;0;
06.06.2011 - 12.06.2011;14,25;78,74;0,65;57,30;5,67;2,99;2,33;20,19;5,57;-5,81;0;
13.06.2011 - 19.06.2011;17,89;77,32;0,83;4,80;6,63;5,97;3,64;4,15;-7,23;-1,42;0;
20.06.2011 - 26.06.2011;17,94;72,20;1,32;9,00;6,02;3,69;0,04;-12,35;-6,54;-5,12;0;
27.06.2011 - 03.07.2011;18,87;75,07;0,98;13,00;4,62;0,98;0,93;-3,67;-2,25;2,87;0;
04.07.2011 - 10.07.2011;18,79;78,27;0,89;10,30;0,90;0,86;-0,08;0,95;6,07;3,20;0;
11.07.2011 - 17.07.2011;19,52;82,85;0,67;1,00;1,58;0,64;0,72;10,65;7,78;4,58;1;
18.07.2011 - 24.07.2011;22,66;76,93;1,11;3,20;3,79;3,87;3,14;1,87;-1,33;-5,91;1;
25.07.2011 - 31.07.2011;19,93;87,50;0,78;40,90;1,14;0,41;-2,73;9,23;4,65;10,57;0;
05.03.2012 - 11.03.2012;-17,62;69,60;0,74;0,70;6,03;6,38;3,68;-0,61;2,98;-0,64;0;
12.03.2012 - 18.03.2012;-17,93;61,02;1,88;0,80;6,07;3,36;-0,31;-5,61;-9,22;-8,59;2;
19.03.2012 - 25.03.2012;-11,42;65,48;1,17;0,00;9,88;6,20;6,51;-4,76;-4,13;4,46;4;
26.03.2012 - 01.04.2012;-6,19;55,89;1,47;1,00;11,43;11,75;5,24;-13,71;-5,13;-9,59;59;
02.04.2012 - 08.04.2012;-6,62;57,76;1,87;0,40;11,31;4,80;-0,44;-3,25;-7,72;1,87;54;
09.04.2012 - 15.04.2012;-0,31;48,82;3,18;0,00;11,11;5,87;6,31;-16,66;-7,07;-8,95;40;
16.04.2012 - 22.04.2012;6,43;55,33;1,96;0,00;12,61;13,05;6,74;-0,56;-2,44;6,51;47;
23.04.2012 - 29.04.2012;4,60;55,69;1,97;4,00;11,22;4,91;-1,83;-2,08;6,87;0,36;34;
30.04.2012 - 06.05.2012;6,14;53,12;1,57;0,50;6,45;-0,29;1,54;4,30;-2,20;-2,56;44;
07.05.2012 - 13.05.2012;11,61;54,52;2,20;1,40;5,18;7,01;5,47;-0,81;-1,17;1,40;50;
14.05.2012 - 20.05.2012;9,81;67,31;1,80;7,00;5,21;3,68;-1,80;11,63;14,19;12,79;68;
21.05.2012 - 27.05.2012;8,55;80,61;1,27;27,40;2,42;-3,05;-1,26;27,49;26,09;13,30;0;
28.05.2012 - 03.06.2012;16,23;63,96;1,34;2,80;4,62;6,42;7,68;9,44;-3,36;-16,66;88;
04.06.2012 - 10.06.2012;13,38;83,59;1,19;47,00;3,57;4,83;-2,85;16,27;2,97;19,63;11;
11.06.2012 - 17.06.2012;14,29;83,19;0,75;19,40;5,74;-1,94;0,91;2,57;19,23;-0,40;0;
18.06.2012 - 24.06.2012;18,89;79,29;0,71;13,30;2,65;5,51;4,59;15,33;-4,30;-3,90;0;
25.06.2012 - 01.07.2012;18,42;80,11;1,03;13,40;5,04;4,13;-0,46;-3,48;-3,08;0,82;0;
02.07.2012 - 08.07.2012;18,80;87,34;0,66;1,60;4,50;-0,09;0,37;4,16;8,06;7,24;0;
09.07.2012 - 15.07.2012;19,55;88,37;0,58;37,00;0,66;1,12;0,75;9,08;8,26;1,02;0;
16.07.2012 - 22.07.2012;21,03;87,36;1,24;44,30;2,60;2,23;1,48;7,25;0,01;-1,01;0;
23.07.2012 - 29.07.2012;18,82;82,60;0,70;29,60;0,03;-0,72;-2,20;-4,74;-5,77;-4,76;0;
30.07.2012 - 05.08.2012;19,51;79,84;0,55;0,30;-0,04;-1,52;0,69;-8,53;-7,52;-2,76;0;
